BASE_YM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,BRDCST_TY_NM,GENRE_LCLAS_NM,GENRE_MLSFC_NM,HLDY_AT,AVRG_WTCHNG_CO,AVRG_WTCHNG_TIME_CO,DAWN_AVRG_WTCHNG_TIME_CO,AM_AVRG_WTCHNG_TIME_CO,PM_AVRG_WTCHNG_TIME_CO,EVENING_AVRG_WTCHNG_TIME_CO,AVRG_VOD_PRCHS_PRICE
202011,경기,고양시 일산서구,송산동,VOD,영화,공포,N,3,171,280,151,68,127,
202011,경기,의정부시,자금동,LINEAR_TV,라이프,여행,N,5,33,13,23,14,24,
202011,강원,고성군,간성읍,LINEAR_TV,스포츠,종합스포츠,N,2,10,0,4,11,10,
202011,경기,화성시,동탄4동,VOD,키즈,창의학습,Y,5,37,9,4,35,64,
202011,경북,영천시,금호읍,LINEAR_TV,시사/교양,문화/예술,Y,2,9,4,,2,12,
202011,NULL,용산구,후암동,LINEAR_TV,홈쇼핑,금융/보험/상조,N,3,11,1,0,20,0,
202011,경기,안산시 상록구,반월동,VOD,라이프,예술,Y,2,59,45,16,143,49,
202011,강원,횡성군,둔내면,LINEAR_TV,다큐,역사,Y,2,10,6,3,0,15,
202011,광주,남구,월산4동,LINEAR_TV,연예/오락,쇼,N,57,703,116,174,227,352,
202011,부산,남구,대연5동,LINEAR_TV,영화,애니메이션,Y,4,35,53,25,25,28,
202011,전북,완주군,봉동읍,LINEAR_TV,TV 애니메이션,명랑/코믹,Y,20,162,27,73,107,73,
202011,광주,광산구,본량동,LINEAR_TV,홈쇼핑,뷰티,N,7,18,13,9,15,3,
202011,부산,금정구,부곡4동,LINEAR_TV,공연/음악,콘서트,Y,3,15,7,2,12,11,
202011,경기,이천시,마장면,LINEAR_TV,영화,무협,N,2,16,0,15,18,11,
202011,경기,양주시,장흥면,LINEAR_TV,홈쇼핑,식품,N,11,28,7,12,13,13,
202011,서울,강서구,화곡1동,LINEAR_TV,공연/음악,클래식,N,4,29,17,39,14,19,
202011,부산,동래구,온천1동,VOD,라이프,예술,Y,2,70,68,187,37,12,
202011,부산,영도구,동삼3동,LINEAR_TV,홈쇼핑,수산물,Y,2,4,4,3,3,2,
202011,제주,제주시,노형동,LINEAR_TV,스포츠,농구,Y,7,36,10,12,33,23,
202011,광주,서구,상무2동,LINEAR_TV,공연/음악,콘서트,Y,3,16,14,0,13,11,
202011,인천,부평구,산곡1동,VOD,애니,액션/모험,N,8,137,42,85,112,70,
202011,경남,창녕군,부곡면,LINEAR_TV,홈쇼핑,금융/보험/상조,N,2,8,0,,13,0,
202011,서울,성동구,금호4가동,LINEAR_TV,라이프,여행,Y,4,38,4,7,23,32,
202011,경남,창원시 마산합포구,진전면,LINEAR_TV,홈쇼핑,패션/의류,Y,22,61,25,32,6,26,
202011,경기,성남시 수정구,양지동,LINEAR_TV,TV 드라마,스페셜,N,11,106,35,50,85,51,
202011,경기,광명시,광명5동,LINEAR_TV,영화,SF/환타지,Y,7,46,20,19,26,25,
202011,인천,연수구,송도2동,VOD,애니,드라마,N,8,155,,43,80,156,
202011,충남,천안시 동남구,문성동,VOD,방송,연예오락,N,10,555,154,224,330,225,
202011,대전,서구,내동,LINEAR_TV,영화,다큐멘터리,N,2,7,6,8,3,5,
202011,서울,강남구,일원본동,LINEAR_TV,라이프,요리,N,3,15,3,17,7,5,
202011,서울,성북구,길음2동,LINEAR_TV,라이프,여행,N,5,29,12,19,9,23,
202011,경기,부천시,상3동,LINEAR_TV,홈쇼핑,침구,N,3,1,,1,3,0,
202011,대구,동구,동촌동,VOD,키즈,외국어,Y,5,12,,7,10,15,
202011,전북,전주시 덕진구,조촌동,LINEAR_TV,영화,SF/환타지,Y,7,53,20,21,29,28,
202011,경기,군포시,궁내동,LINEAR_TV,교육,외국어강좌,N,6,39,9,37,36,19,
202011,부산,동구,수정5동,LINEAR_TV,홈쇼핑,가정/주방/생활용품,Y,6,13,8,6,5,4,
202011,경기,안양시 만안구,안양2동,LINEAR_TV,영화,기타,Y,3,17,11,8,12,12,
202011,경기,광주시,남한산성면,LINEAR_TV,연예/오락,기타,Y,58,847,105,221,189,391,
